7J0|Japan (Shin'etsu), Guest Operators
BY9[M-R]|China, Ning Xia (Yinchuan City), Club Station
BY9[S-X]|China, Qing Hai (Xining City), Club Station
B[BCEFH-LRS]0[A-F] BZ0[A-F] XS0[A-F] 3[H-U]0[A-F] B0[A-F]|China, Xin Jiang (Urumqi City)
B[BCEFH-LRS]0[G-L] BZ0[G-L] XS0[G-L] 3[H-U]0[G-L] B0[G-L]|China, Xi Zang (Tibet - Lhasa City)
B[BCEFH-LRS]1 BZ1 B1 XS1 3H1|China, Beijing
B[BCEFH-LRS]2[A-H] BZ2[A-H] XS2[A-H] 3[H-U]2[A-H] B2[A-H]|China, Hei Long Jiang (Harbin City)
B[BCEFH-LRS]2[I-P] BZ2[I-P] XS2[I-P] 3[H-U]2[I-P] B2[I-P]|China, Ji Lin (Changchun City)
B[BCEFH-LRS]2[Q-X] BZ2[Q-X] XS2[Q-X] 3[H-U]2[Q-X] B2[Q-X]|China, Liao Ning (Shenyang City)
B[BCEFH-LRS]3[A-F] BZ3[A-F] XS3[A-F] 3[H-U]3[A-F] B3[A-F]|China, Tian Jin (Tian Jin City)
B[BCEFH-LRS]3[G-L] BZ3[G-L] XS3[G-L] 3[H-U]3[G-L] B3[G-L]|China, Nei Mongol (Hobbot City)
B[BCEFH-LRS]3[M-R] BZ3[M-R] XS3[M-R] 3[H-U]3[M-R] B3[M-R]|China, Hei Bei (Shijiazhuang City)
B[BCEFH-LRS]3[S-X] BZ3[S-X] XS3[S-X] 3[H-U]3[S-X] B3[S-X]|China, Shan Xi (Taiyuan City)
B[BCEFH-LRS]4[A-H] BZ4[A-H] XS4[A-H] 3[H-U]4[A-H] B4[A-H]|China, Shang Hai (Shang Hai City)
B[BCEFH-LRS]4[I-P] BZ4[I-P] XS4[I-P] 3[H-U]4[I-P] B4[I-P]|China, Shan Dong (Jinan City)
B[BCEFH-LRS]4[Q-X] BZ4[Q-X] XS4[Q-X] 3[H-U]4[Q-X] B4[Q-X]|China, Jiang Su (Nanjing City)
B[BCEFH-LRS]5[A-H] BZ5[A-H] XS5[A-H] 3[H-U]5[A-H] B5[A-H]|China, Zhe Jiang (Hangzhou City)
B[BCEFH-LRS]5[I-P] BZ5[I-P] XS5[I-P] 3[H-U]5[I-P] B5[I-P]|China, Jiang Xi (Nanchang City)
B[BCEFH-LRS]5[Q-X] BZ5[Q-X] XS5[Q-X] 3[H-U]5[Q-X] B5[Q-X]|China, Fu Jian (Fuzhou City)
B[BCEFH-LRS]6[A-H] BZ6[A-H] XS6[A-H] 3[H-U]6[A-H] B6[A-H]|China, An Hui (Hefei City)
B[BCEFH-LRS]6[I-P] BZ6[I-P] XS6[I-P] 3[H-U]6[I-P] B6[I-P]|China, He Nan (Zhengzhou City)
B[BCEFH-LRS]6[Q-X] BZ6[Q-X] XS6[Q-X] 3[H-U]6[Q-X] B6[Q-X]|China, Hu Bei (Wuhan City)
B[BCEFH-LRS]7[A-H] BZ7[A-H] XS7[A-H] 3[H-U]7[A-H] B7[A-H]|China, Hu Nan (Changsha City)
B[BCEFH-LRS]7[I-P] BZ7[I-P] XS7[I-P] 3[H-U]7[I-P] B7[I-P]|China, Guang Dong (Canton City)
B[BCEFH-LRS]7[Q-X] BZ7[Q-X] XS7[Q-X] 3[H-U]7[Q-X] B7[Q-X]|China, Guang Xi (Nanning City)
B[BCEFH-LRS]7[Y-Z] BZ7[Y-Z] XS7[Y-Z] 3[H-U]7[Y-Z] B7[Y-Z]|China, Hei Nan (Haikou City)
B[BCEFH-LRS]8[A-F] BZ8[A-F] XS8[A-F] 3[H-U]8[A-F] B8[A-F]|China, Si Chuan (Chengdu City)
B[BCEFH-LRS]8[G-L] BZ8[G-L] XS8[G-L] 3[H-U]8[G-L] B8[G-L]|China, Chong Qing (Chong Qing City)
B[BCEFH-LRS]8[M-R] BZ8[M-R] XS8[M-R] 3[H-U]8[M-R] B8[M-R]|China, Gui Zhou (Guiyang City)
B[BCEFH-LRS]8[S-X] BZ8[S-X] XS8[S-X] 3[H-U]8[S-X] B8[S-X]|China, Yun Nan (Kunming City)
B[BCEFH-LRS]9[A-F] BZ9[A-F] XS9[A-F] 3[H-U]9[A-F] B9[A-F]|China, Qhaan Xi (Xian City)
B[BCEFH-LRS]9[G-L] BZ9[G-L] XS9[G-L] 3[H-U]9[G-L] B9[G-L]|China, Gan Su (Lanzhou City)
B[BCEFH-LRS]9[M-R] BZ9[M-R] XS9[M-R] 3[H-U]9[M-R] B9[M-R]|China, Ning Xia (Yinchuan City)
B[BCEFH-LRS]9[S-X] BZ9[S-X] XS9[S-X] 3[H-U]9[S-X] B9[S-X]|China, Qing Hai (Xining City)
%%%%/B[A-LRSTYZ]0[A-F]%|China, Xin Jiang (Urumqi City), Guest Operators
%%%%%/B[A-LRSTYZ]0[A-F]%|China, Xin Jiang (Urumqi City), Guest Operators
%%%%%%/B[A-LRSTYZ]0[A-F]%|China, Xin Jiang (Urumqi City), Guest Operators
%%%%/B[A-LRSTYZ]0[A-F]%%|China, Xin Jiang (Urumqi City), Guest Operators
%%%%%/B[A-LRSTYZ]0[A-F]%%|China, Xin Jiang (Urumqi City), Guest Operators
%%%%%%/B[A-LRSTYZ]0[A-F]%%|China, Xin Jiang (Urumqi City), Guest Operators
%%%%/B[A-LRSTYZ]0[A-F]0[G-L]%%|China, Xi Zang (Tibet - Lhasa City), Guest Operators
%%%%%/B[A-LRSTYZ]0[A-F]0[G-L]%%|China, Xi Zang (Tibet - Lhasa City), Guest Operators
%%%%%%/B[A-LRSTYZ]0[A-F]0[G-L]%%|China, Xi Zang (Tibet - Lhasa City), Guest Operators
%%%%/B[A-LRSTYZ]1%%|China, Beijing, Guest Operators
%%%%%/B[A-LRSTYZ]1%%|China, Beijing, Guest Operators
%%%%%%/B[A-LRSTYZ]1%%|China, Beijing, Guest Operators
%%%%/B[A-LRSTYZ]1%%%|China, Beijing, Guest Operators
%%%%%/B[A-LRSTYZ]1%%%|China, Beijing, Guest Operators
%%%%%%/B[A-LRSTYZ]1%%%|China, Beijing, Guest Operators
%%%%/B[A-LRSTYZ]2[A-H]%|China, Hei Long Jiang (Harbin City), Guest Operators
%%%%%/B[A-LRSTYZ]2[A-H]%|China, Hei Long Jiang (Harbin City), Guest Operators
%%%%%%/B[A-LRSTYZ]2[A-H]%|China, Hei Long Jiang (Harbin City), Guest Operators
%%%%/B[A-LRSTYZ]2[A-H]%%|China, Hei Long Jiang (Harbin City), Guest Operators
%%%%%/B[A-LRSTYZ]2[A-H]%%|China, Hei Long Jiang (Harbin City), Guest Operators
%%%%%%/B[A-LRSTYZ]2[A-H]%%|China, Hei Long Jiang (Harbin City), Guest Operators
%%%%/B[A-LRSTYZ]2[I-P]%|China, Ji Lin (Changchun City), Guest Operators
%%%%%/B[A-LRSTYZ]2[I-P]%|China, Ji Lin (Changchun City), Guest Operators
%%%%%%/B[A-LRSTYZ]2[I-P]%|China, Ji Lin (Changchun City), Guest Operators
%%%%/B[A-LRSTYZ]2[I-P]%%|China, Ji Lin (Changchun City), Guest Operators
%%%%%/B[A-LRSTYZ]2[I-P]%%|China, Ji Lin (Changchun City), Guest Operators
%%%%%%/B[A-LRSTYZ]2[I-P]%%|China, Ji Lin (Changchun City), Guest Operators
%%%%/B[A-LRSTYZ]2[Q-X]%|China, Liao Ning (Shenyang City), Guest Operators
%%%%%/B[A-LRSTYZ]2[Q-X]%|China, Liao Ning (Shenyang City), Guest Operators
%%%%%%/B[A-LRSTYZ]2[Q-X]%|China, Liao Ning (Shenyang City), Guest Operators
%%%%/B[A-LRSTYZ]2[Q-X]%%|China, Liao Ning (Shenyang City), Guest Operators
%%%%%/B[A-LRSTYZ]2[Q-X]%%|China, Liao Ning (Shenyang City), Guest Operators
%%%%%%/B[A-LRSTYZ]2[Q-X]%%|China, Liao Ning (Shenyang City), Guest Operators
%%%%/B[A-LRSTYZ]3[A-F]%|China, Tian Jin (Tian Jin City), Guest Operators
%%%%%/B[A-LRSTYZ]3[A-F]%|China, Tian Jin (Tian Jin City), Guest Operators
%%%%%%/B[A-LRSTYZ]3[A-F]%|China, Tian Jin (Tian Jin City), Guest Operators
%%%%/B[A-LRSTYZ]3[A-F]%%|China, Tian Jin (Tian Jin City), Guest Operators
%%%%%/B[A-LRSTYZ]3[A-F]%%|China, Tian Jin (Tian Jin City), Guest Operators
%%%%%%/B[A-LRSTYZ]3[A-F]%%|China, Tian Jin (Tian Jin City), Guest Operators
%%%%/B[A-LRSTYZ]3[G-L]%|China, Nei Mongol (Hobbot City), Guest Operators
%%%%%/B[A-LRSTYZ]3[G-L]%|China, Nei Mongol (Hobbot City), Guest Operators
%%%%%%/B[A-LRSTYZ]3[G-L]%|China, Nei Mongol (Hobbot City), Guest Operators
%%%%/B[A-LRSTYZ]3[G-L]%%|China, Nei Mongol (Hobbot City), Guest Operators
%%%%%/B[A-LRSTYZ]3[G-L]%%|China, Nei Mongol (Hobbot City), Guest Operators
%%%%%%/B[A-LRSTYZ]3[G-L]%%|China, Nei Mongol (Hobbot City), Guest Operators
%%%%/B[A-LRSTYZ]3[M-R]%|China, Hei Bei (Shijiazhuang City), Guest Operators
%%%%%/B[A-LRSTYZ]3[M-R]%|China, Hei Bei (Shijiazhuang City), Guest Operators
%%%%%%/B[A-LRSTYZ]3[M-R]%|China, Hei Bei (Shijiazhuang City), Guest Operators
%%%%/B[A-LRSTYZ]3[M-R]%%|China, Hei Bei (Shijiazhuang City), Guest Operators
%%%%%/B[A-LRSTYZ]3[M-R]%%|China, Hei Bei (Shijiazhuang City), Guest Operators
%%%%%%/B[A-LRSTYZ]3[M-R]%%|China, Hei Bei (Shijiazhuang City), Guest Operators
%%%%/B[A-LRSTYZ]3[S-X]%|China, Shan Xi (Taiyuan City), Guest Operators
%%%%%/B[A-LRSTYZ]3[S-X]%|China, Shan Xi (Taiyuan City), Guest Operators
%%%%%%/B[A-LRSTYZ]3[S-X]%|China, Shan Xi (Taiyuan City), Guest Operators
%%%%/B[A-LRSTYZ]3[S-X]%%|China, Shan Xi (Taiyuan City), Guest Operators
%%%%%/B[A-LRSTYZ]3[S-X]%%|China, Shan Xi (Taiyuan City), Guest Operators
%%%%%%/B[A-LRSTYZ]3[S-X]%%|China, Shan Xi (Taiyuan City), Guest Operators
%%%%/B[A-LRSTYZ]4[A-H]%|China, Shang Hai (Shang Hai City), Guest Operators
%%%%%/B[A-LRSTYZ]4[A-H]%|China, Shang Hai (Shang Hai City), Guest Operators
%%%%%%/B[A-LRSTYZ]4[A-H]%|China, Shang Hai (Shang Hai City), Guest Operators
%%%%/B[A-LRSTYZ]4[A-H]%%|China, Shang Hai (Shang Hai City), Guest Operators
%%%%%/B[A-LRSTYZ]4[A-H]%%|China, Shang Hai (Shang Hai City), Guest Operators
%%%%%%/B[A-LRSTYZ]4[A-H]%%|China, Shang Hai (Shang Hai City), Guest Operators
%%%%/B[A-LRSTYZ]4[I-P]%|China, Shan Dong (Jinan City), Guest Operators
%%%%%/B[A-LRSTYZ]4[I-P]%|China, Shan Dong (Jinan City), Guest Operators
%%%%%%/B[A-LRSTYZ]4[I-P]%|China, Shan Dong (Jinan City), Guest Operators
%%%%/B[A-LRSTYZ]4[I-P]%%|China, Shan Dong (Jinan City), Guest Operators
%%%%%/B[A-LRSTYZ]4[I-P]%%|China, Shan Dong (Jinan City), Guest Operators
%%%%%%/B[A-LRSTYZ]4[I-P]%%|China, Shan Dong (Jinan City), Guest Operators
%%%%/B[A-LRSTYZ]4[Q-X]%|China, Jiang Su (Nanjing City), Guest Operators
%%%%%/B[A-LRSTYZ]4[Q-X]%|China, Jiang Su (Nanjing City), Guest Operators
%%%%%%/B[A-LRSTYZ]4[Q-X]%|China, Jiang Su (Nanjing City), Guest Operators
%%%%/B[A-LRSTYZ]4[Q-X]%%|China, Jiang Su (Nanjing City), Guest Operators
%%%%%/B[A-LRSTYZ]4[Q-X]%%|China, Jiang Su (Nanjing City), Guest Operators
%%%%%%/B[A-LRSTYZ]4[Q-X]%%|China, Jiang Su (Nanjing City), Guest Operators
%%%%/B[A-LRSTYZ]5[A-H]%|China, Zhe Jiang (Hangzhou City), Guest Operators
%%%%%/B[A-LRSTYZ]5[A-H]%|China, Zhe Jiang (Hangzhou City), Guest Operators
%%%%%%/B[A-LRSTYZ]5[A-H]%|China, Zhe Jiang (Hangzhou City), Guest Operators
%%%%/B[A-LRSTYZ]5[A-H]%%|China, Zhe Jiang (Hangzhou City), Guest Operators
%%%%%/B[A-LRSTYZ]5[A-H]%%|China, Zhe Jiang (Hangzhou City), Guest Operators
%%%%%%/B[A-LRSTYZ]5[A-H]%%|China, Zhe Jiang (Hangzhou City), Guest Operators
%%%%/B[A-LRSTYZ]5[I-P]%|China, Jiang Xi (Nanchang City), Guest Operators
%%%%%/B[A-LRSTYZ]5[I-P]%|China, Jiang Xi (Nanchang City), Guest Operators
%%%%%%/B[A-LRSTYZ]5[I-P]%|China, Jiang Xi (Nanchang City), Guest Operators
%%%%/B[A-LRSTYZ]5[I-P]%%|China, Jiang Xi (Nanchang City), Guest Operators
%%%%%/B[A-LRSTYZ]5[I-P]%%|China, Jiang Xi (Nanchang City), Guest Operators
%%%%%%/B[A-LRSTYZ]5[I-P]%%|China, Jiang Xi (Nanchang City), Guest Operators
%%%%/B[A-LRSTYZ]5[Q-X]%|China, Fu Jian (Fuzhou City), Guest Operators
%%%%%/B[A-LRSTYZ]5[Q-X]%|China, Fu Jian (Fuzhou City), Guest Operators
%%%%%%/B[A-LRSTYZ]5[Q-X]%|China, Fu Jian (Fuzhou City), Guest Operators
%%%%/B[A-LRSTYZ]5[Q-X]%%|China, Fu Jian (Fuzhou City), Guest Operators
%%%%%/B[A-LRSTYZ]5[Q-X]%%|China, Fu Jian (Fuzhou City), Guest Operators
%%%%%%/B[A-LRSTYZ]5[Q-X]%%|China, Fu Jian (Fuzhou City), Guest Operators
%%%%/B[A-LRSTYZ]6[A-H]%|China, An Hui (Hefei City), Guest Operators
%%%%%/B[A-LRSTYZ]6[A-H]%|China, An Hui (Hefei City), Guest Operators
%%%%%%/B[A-LRSTYZ]6[A-H]%|China, An Hui (Hefei City), Guest Operators
%%%%/B[A-LRSTYZ]6[A-H]%%|China, An Hui (Hefei City), Guest Operators
%%%%%/B[A-LRSTYZ]6[A-H]%%|China, An Hui (Hefei City), Guest Operators
%%%%%%/B[A-LRSTYZ]6[A-H]%%|China, An Hui (Hefei City), Guest Operators
%%%%/B[A-LRSTYZ]6[I-P]%|China, He Nan (Zhengzhou City), Guest Operators
%%%%%/B[A-LRSTYZ]6[I-P]%|China, He Nan (Zhengzhou City), Guest Operators
%%%%%%/B[A-LRSTYZ]6[I-P]%|China, He Nan (Zhengzhou City), Guest Operators
%%%%/B[A-LRSTYZ]6[I-P]%%|China, He Nan (Zhengzhou City), Guest Operators
%%%%%/B[A-LRSTYZ]6[I-P]%%|China, He Nan (Zhengzhou City), Guest Operators
%%%%%%/B[A-LRSTYZ]6[I-P]%%|China, He Nan (Zhengzhou City), Guest Operators
%%%%/B[A-LRSTYZ]6[Q-X]%|China, Hu Bei (Wuhan City), Guest Operators
%%%%%/B[A-LRSTYZ]6[Q-X]%|China, Hu Bei (Wuhan City), Guest Operators
%%%%%%/B[A-LRSTYZ]6[Q-X]%|China, Hu Bei (Wuhan City), Guest Operators
%%%%/B[A-LRSTYZ]6[Q-X]%%|China, Hu Bei (Wuhan City), Guest Operators
%%%%%/B[A-LRSTYZ]6[Q-X]%%|China, Hu Bei (Wuhan City), Guest Operators
%%%%%%/B[A-LRSTYZ]6[Q-X]%%|China, Hu Bei (Wuhan City), Guest Operators
%%%%/B[A-LRSTYZ]7[A-H]%|China, Hu Nan (Changsha City), Guest Operators
%%%%%/B[A-LRSTYZ]7[A-H]%|China, Hu Nan (Changsha City), Guest Operators
%%%%%%/B[A-LRSTYZ]7[A-H]%|China, Hu Nan (Changsha City), Guest Operators
%%%%/B[A-LRSTYZ]7[A-H]%%|China, Hu Nan (Changsha City), Guest Operators
%%%%%/B[A-LRSTYZ]7[A-H]%%|China, Hu Nan (Changsha City), Guest Operators
%%%%%%/B[A-LRSTYZ]7[A-H]%%|China, Hu Nan (Changsha City), Guest Operators
%%%%/B[A-LRSTYZ]7[I-P]%|China, Guang Dong (Canton City), Guest Operators
%%%%%/B[A-LRSTYZ]7[I-P]%|China, Guang Dong (Canton City), Guest Operators
%%%%%%/B[A-LRSTYZ]7[I-P]%|China, Guang Dong (Canton City), Guest Operators
%%%%/B[A-LRSTYZ]7[I-P]%%|China, Guang Dong (Canton City), Guest Operators
%%%%%/B[A-LRSTYZ]7[I-P]%%|China, Guang Dong (Canton City), Guest Operators
%%%%%%/B[A-LRSTYZ]7[I-P]%%|China, Guang Dong (Canton City), Guest Operators
%%%%/B[A-LRSTYZ]7[Q-X]%|China, Guang Xi (Nanning City), Guest Operators
%%%%%/B[A-LRSTYZ]7[Q-X]%|China, Guang Xi (Nanning City), Guest Operators
%%%%%%/B[A-LRSTYZ]7[Q-X]%|China, Guang Xi (Nanning City), Guest Operators
%%%%/B[A-LRSTYZ]7[Q-X]%%|China, Guang Xi (Nanning City), Guest Operators
%%%%%/B[A-LRSTYZ]7[Q-X]%%|China, Guang Xi (Nanning City), Guest Operators
%%%%%%/B[A-LRSTYZ]7[Q-X]%%|China, Guang Xi (Nanning City), Guest Operators
%%%%/B[A-LRSTYZ]7[Y-Z]%|China, Hei Nan (Haikou City), Guest Operators
%%%%%/B[A-LRSTYZ]7[Y-Z]%|China, Hei Nan (Haikou City), Guest Operators
%%%%%%/B[A-LRSTYZ]7[Y-Z]%|China, Hei Nan (Haikou City), Guest Operators
%%%%/B[A-LRSTYZ]7[Y-Z]%%|China, Hei Nan (Haikou City), Guest Operators
%%%%%/B[A-LRSTYZ]7[Y-Z]%%|China, Hei Nan (Haikou City), Guest Operators
%%%%%%/B[A-LRSTYZ]7[Y-Z]%%|China, Hei Nan (Haikou City), Guest Operators
%%%%/B[A-LRSTYZ]8[A-F]%|China, Si Chuan (Chengdu City), Guest Operators
%%%%%/B[A-LRSTYZ]8[A-F]%|China, Si Chuan (Chengdu City), Guest Operators
%%%%%%/B[A-LRSTYZ]8[A-F]%|China, Si Chuan (Chengdu City), Guest Operators
%%%%/B[A-LRSTYZ]8[A-F]%%|China, Si Chuan (Chengdu City), Guest Operators
%%%%%/B[A-LRSTYZ]8[A-F]%%|China, Si Chuan (Chengdu City), Guest Operators
%%%%%%/B[A-LRSTYZ]8[A-F]%%|China, Si Chuan (Chengdu City), Guest Operators
%%%%/B[A-LRSTYZ]8[G-L]%|China, Chong Qing (Chong Qing City), Guest Operators
%%%%%/B[A-LRSTYZ]8[G-L]%|China, Chong Qing (Chong Qing City), Guest Operators
%%%%%%/B[A-LRSTYZ]8[G-L]%|China, Chong Qing (Chong Qing City), Guest Operators
%%%%/B[A-LRSTYZ]8[G-L]%%|China, Chong Qing (Chong Qing City), Guest Operators
%%%%%/B[A-LRSTYZ]8[G-L]%%|China, Chong Qing (Chong Qing City), Guest Operators
%%%%%%/B[A-LRSTYZ]8[G-L]%%|China, Chong Qing (Chong Qing City), Guest Operators
%%%%/B[A-LRSTYZ]8[M-R]%|China, Gui Zhou (Guiyang City), Guest Operators
%%%%%/B[A-LRSTYZ]8[M-R]%|China, Gui Zhou (Guiyang City), Guest Operators
%%%%%%/B[A-LRSTYZ]8[M-R]%|China, Gui Zhou (Guiyang City), Guest Operators
%%%%/B[A-LRSTYZ]8[M-R]%%|China, Gui Zhou (Guiyang City), Guest Operators
%%%%%/B[A-LRSTYZ]8[M-R]%%|China, Gui Zhou (Guiyang City), Guest Operators
%%%%%%/B[A-LRSTYZ]8[M-R]%%|China, Gui Zhou (Guiyang City), Guest Operators
%%%%/B[A-LRSTYZ]8[S-X]%|China, Yun Nan (Kunming City), Guest Operators
%%%%%/B[A-LRSTYZ]8[S-X]%|China, Yun Nan (Kunming City), Guest Operators
%%%%%%/B[A-LRSTYZ]8[S-X]%|China, Yun Nan (Kunming City), Guest Operators
%%%%/B[A-LRSTYZ]8[S-X]%%|China, Yun Nan (Kunming City), Guest Operators
%%%%%/B[A-LRSTYZ]8[S-X]%%|China, Yun Nan (Kunming City), Guest Operators
%%%%%%/B[A-LRSTYZ]8[S-X]%%|China, Yun Nan (Kunming City), Guest Operators
%%%%/B[A-LRSTYZ]9[A-F]%|China, Qhaan Xi (Xian City), Guest Operators
%%%%%/B[A-LRSTYZ]9[A-F]%|China, Qhaan Xi (Xian City), Guest Operators
%%%%%%/B[A-LRSTYZ]9[A-F]%|China, Qhaan Xi (Xian City), Guest Operators
%%%%/B[A-LRSTYZ]9[A-F]%%|China, Qhaan Xi (Xian City), Guest Operators
%%%%%/B[A-LRSTYZ]9[A-F]%%|China, Qhaan Xi (Xian City), Guest Operators
%%%%%%/B[A-LRSTYZ]9[A-F]%%|China, Qhaan Xi (Xian City), Guest Operators
%%%%/B[A-LRSTYZ]9[G-L]%|China, Gan Su (Lanzhou City), Guest Operators
%%%%%/B[A-LRSTYZ]9[G-L]%|China, Gan Su (Lanzhou City), Guest Operators
%%%%%%/B[A-LRSTYZ]9[G-L]%|China, Gan Su (Lanzhou City), Guest Operators
%%%%/B[A-LRSTYZ]9[G-L]%%|China, Gan Su (Lanzhou City), Guest Operators
%%%%%/B[A-LRSTYZ]9[G-L]%%|China, Gan Su (Lanzhou City), Guest Operators
%%%%%%/B[A-LRSTYZ]9[G-L]%%|China, Gan Su (Lanzhou City), Guest Operators
%%%%/B[A-LRSTYZ]9[M-R]%|China, Ning Xia (Yinchuan City), Guest Operators
%%%%%/B[A-LRSTYZ]9[M-R]%|China, Ning Xia (Yinchuan City), Guest Operators
%%%%%%/B[A-LRSTYZ]9[M-R]%|China, Ning Xia (Yinchuan City), Guest Operators
%%%%/B[A-LRSTYZ]9[M-R]%%|China, Ning Xia (Yinchuan City), Guest Operators
%%%%%/B[A-LRSTYZ]9[M-R]%%|China, Ning Xia (Yinchuan City), Guest Operators
%%%%%%/B[A-LRSTYZ]9[M-R]%%|China, Ning Xia (Yinchuan City), Guest Operators
%%%%/B[A-LRSTYZ]9[S-X]%|China, Qing Hai (Xining City), Guest Operators
%%%%%/B[A-LRSTYZ]9[S-X]%|China, Qing Hai (Xining City), Guest Operators
%%%%%%/B[A-LRSTYZ]9[S-X]%|China, Qing Hai (Xining City), Guest Operators
%%%%/B[A-LRSTYZ]9[S-X]%%|China, Qing Hai (Xining City), Guest Operators
%%%%%/B[A-LRSTYZ]9[S-X]%%|China, Qing Hai (Xining City), Guest Operators
%%%%%%/B[A-LRSTYZ]9[S-X]%%|China, Qing Hai (Xining City), Guest Operators
BO0K|Taiwan, Kin men Island
BO0KS|Taiwan, Small Kin men Island
BO0M|Taiwan, Ma tsu Island
BV## B[MNOPQUWX]##|Taiwan (Formosa), Special Station
BV BM BN BO BP BQ B0 BW BX|Taiwan
BV0 BM0 BN0 BO0 BP0 BQ0 BU0 BW0 BX0|Taiwan, Special Station
BV1 BM1 BN1 BO1 BP1 BQ1 BU1 BW1 BX1|Taiwan, Ilanei
BV2 BM2 BN2 BO2 BP2 BQ2 BU2 BW2 BX2|Taiwan, Taipei
BV3 BM3 BN3 BO3 BP3 BQ3 BU3 BW3 BX3|Taiwan, Taoyuan
BV4 BM4 BN4 BO4 BP4 BQ4 BU4 BW4 BX4|Taiwan, Taichung
BV5 BM5 BN5 BO5 BP5 BQ5 BU5 BW5 BX5|Taiwan, Chang hua
BV6 BM6 BN6 BO6 BP6 BQ6 BU6 BW6 BX6|Taiwan, Tainan
BV7 BM7 BN7 BO7 BP7 BQ7 BU7 BW7 BX7|Taiwan, Kaohsiung
BV8 BM8 BN8 BO8 BP8 BQ8 BU8 BW8 BX8|Taiwan, Hualien
BV9A BM9A BN9A BO9A BP9A BQ9A BU9A BW9A BX9A|Taiwan, Peng Hu Island
BV9D BM9D BN9D BO9D BP9D BQ9D BU9D BW9D BX9D|Taiwan, Diao Yu Tai Island
BV9G BM9G BN9G BO9G BP9G BQ9G BU9G BW9G BX9G|Taiwan, Green Island
BV9H BM9H BN9H BO9H BP9H BQ9H BU9H BW9H BX9H|Taiwan, Hwa Ping Island
BV9J BM9J BN9J BO9J BP9J BQ9J BU9J BW9J BX9J|Taiwan, Z Long Island
BV9K BM9K BN9K BO9K BP9K BQ9K BU9K BW9K BX9K|Taiwan, Kuei Shan Tao Island
BV9L BM9L BN9L BO9L BP9L BQ9L BU9L BW9L BX9L|Taiwan, Lio cheu Island
BV9M BM9M BN9M BO9M BP9M BQ9M BU9M BW9M BX9M|Taiwan, Mlen Hwa Island
BV9O BM9O BN9O BO9O BP9O BQ9O BU9O BW9O BX9O|Taiwan, Orchid Island
BV9S BM9S BN9S BO9S BP9S BQ9S BU9S BW9S BX9S|Pag-Asa (Thi Tu) Isl., Spratly Is.
BV9W BM9W BN9W BO9W BP9W BQ9W BU9W BW9W BX9W|Taiwan, Peng Chia Island
BV1Y% BV1%Y% BM1Y% BN1Y% BO1Y% BP1Y% BQ1Y% BU1Y% BW1Y% BX1Y% BM1%Y% BN1%Y% BO1%Y% BP1%Y% BQ1%Y% BU1%Y% BW1%Y% BX1%Y%|Taiwan, Ilanei, Club Station
BV2Y% BV2%Y% BM2Y% BN2Y% BO2Y% BP2Y% BQ2Y% BU2Y% BW2Y% BX2Y% BM2%Y% BN2%Y% BO2%Y% BP2%Y% BQ2%Y% BU2%Y% BW2%Y% BX2%Y%|Taiwan, Taipei, Club Station
BV3Y% BV3%Y% BM3Y% BN3Y% BO3Y% BP3Y% BQ3Y% BU3Y% BW3Y% BX3Y% BM3%Y% BN3%Y% BO3%Y% BP3%Y% BQ3%Y% BU3%Y% BW3%Y% BX3%Y%|Taiwan, Taoyuan, Club Station
BV4Y% BV4%Y% BM4Y% BN4Y% BO4Y% BP4Y% BQ4Y% BU4Y% BW4Y% BX4Y% BM4%Y% BN4%Y% BO4%Y% BP4%Y% BQ4%Y% BU4%Y% BW4%Y% BX4%Y%|Taiwan, Taichung, Club Station
BV5Y% BV5%Y% BM5Y% BN5Y% BO5Y% BP5Y% BQ5Y% BU5Y% BW5Y% BX5Y% BM5%Y% BN5%Y% BO5%Y% BP5%Y% BQ5%Y% BU5%Y% BW5%Y% BX5%Y%|Taiwan, Chang hua, Club Station
BV6Y% BV6%Y% BM6Y% BN6Y% BO6Y% BP6Y% BQ6Y% BU6Y% BW6Y% BX6Y% BM6%Y% BN6%Y% BO6%Y% BP6%Y% BQ6%Y% BU6%Y% BW6%Y% BX6%Y%|Taiwan, T'ai nan, Club Station
BV7Y% BV7%Y% BM7Y% BN7Y% BO7Y% BP7Y% BQ7Y% BU7Y% BW7Y% BX7Y% BM7%Y% BN7%Y% BO7%Y% BP7%Y% BQ7%Y% BU7%Y% BW7%Y% BX7%Y%|Taiwan, Kaohsiung, Club Station
BV8Y% BV8%Y% BM8Y% BN8Y% BO8Y% BP8Y% BQ8Y% BU8Y% BW8Y% BX8Y% BM8%Y% BN8%Y% BO8%Y% BP8%Y% BQ8%Y% BU8%Y% BW8%Y% BX8%Y%|Taiwan, Hualien, Club Station
BV9AY BM9AY BN9AY BO9AY BP9AY BQ9AY BU9AY BW9AY BX9AY|Taiwan, Peng hu Island, Club Station
BV9DY BM9DY BN9DY BO9DY BP9DY BQ9DY BU9DY BW9DY BX9DY|Taiwan, Diao Yu Tai Island, Club Station
BV9GY BM9GY BN9GY BO9GY BP9GY BQ9GY BU9GY BW9GY BX9GY|Taiwan, Green Island, Club Station
BV9HY BM9HY BN9HY BO9HY BP9HY BQ9HY BU9HY BW9HY BX9HY|Taiwan, Hwa Ping Island, Club Station
